source_type,source_path,feature,scenario,tags,status,notes
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home sample visit for a single member and complete online payment with reschedule order flow(Member),@rescheduleHomeOrder,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Member),@payincashRescheduleMember,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a home visit for a family member with the profile owner and complete cash payment with reschedule order flow(Non Member),@payincashRescheduleNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place a lab visit for a single non member and complete online payment with reschedule order flow,@rescheduleLabOrderNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_08_Reschedule.feature,Place lab orders for a single member and pay online with reschedule order flow,Place lab orders for a single member and pay online with reschedule order flow(Member),@RescehduleLabOrder,Implemented,
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a home sample visit for a single  non member and complete online payment  with cancel order flow(Non Member),@rescheduleHomeOrderNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a home sample visit for a single member and complete online payment with cancel order flow,@cancelHomeOrder,Implemented,
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a lab visit for a single member and complete online payment  in most popular packages,@CancelLabOrder,Implemented,
Cucumber,src/test/resources/Feature/TC_09_CancelOrder.feature,Place lab orders and pay online with cancel order flow(Member),Place a lab visit for a single non member and complete online payment with cancel order flow(Non Member),@cancelLabOrderNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_10_UserRegistration.feature,New User registration,Place a lab visit for a single member and complete online payment  in most popular packages,@NewUserRegistrationNew,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member (non-member) places a lab visit order with proportional coupon split via UI and verifies via API,@hybridMultiMemberNonMemberCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with proportional coupon split via UI and verifies via API,@hybridMultiMemberCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with reward and coupon via UI and verifies via getOrderById API,@hybridMultiMemberRewardCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Multi-member places a lab visit order with reward only via UI and verifies via getOrderById API,@hybridMultiMemberReward,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",New user places a lab visit order via UI and verifies via getOrderById API,@hybridLabOrderNewUser,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Single member places a lab visit order via UI and verifies via getOrderById API,@hybridLabOrderMember,Implemented,
